tom,10,100
nice,10,10
abcd,10,58
tttom,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
ttom,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
tom,10,100
nice,10,10
abcd,10,58
tttom,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
ttom,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58
om,10,100
nice,10,10
abcd,10,58



